url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,39,34
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,25,14
/Ladbaby/PowerPlanSwitcher/tree/master,12,9
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,10,6
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,7,5
/Ladbaby/PowerPlanSwitcher/releases,6,5
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,1
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,2,1
/Ladbaby/PowerPlanSwitcher/branches,1,1
/Ladbaby/PowerPlanSwitcher/issues,1,1
