url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,46,37
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,35,22
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,16,12
/Ladbaby/PowerPlanSwitcher/releases,6,6
/Ladbaby/PowerPlanSwitcher/tree/master,6,5
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,5,4
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,4
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,3
/Ladbaby/PowerPlanSwitcher/tree/master/.github,2,1
/Ladbaby/PowerPlanSwitcher/actions,1,1
