url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,58,44
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,38,22
/Ladbaby/PowerPlanSwitcher/tree/master,13,10
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,12,8
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,11,7
/Ladbaby/PowerPlanSwitcher/releases,10,9
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,1
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,2,1
/Ladbaby/PowerPlanSwitcher/tree/v1.0.1,2,1
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,1,1
