url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,45,38
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,27,17
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,7,5
/Ladbaby/PowerPlanSwitcher/releases,5,5
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,1
/Ladbaby/PowerPlanSwitcher/tree/master,3,3
/Ladbaby/PowerPlanSwitcher/actions,2,2
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,2,2
/Ladbaby/PowerPlanSwitcher/commits/master,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/ListView.ahk,2,1
