url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,42,30
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,23,15
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,14,7
/Ladbaby/PowerPlanSwitcher/releases,10,8
/Ladbaby/PowerPlanSwitcher/tree/master,3,3
/Ladbaby/PowerPlanSwitcher/issues,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/ListView.ahk,2,1
/Ladbaby/PowerPlanSwitcher/commit/0ff2a1bcc30c4f71b593a406ccc0d3a03f17957f,2,1
/Ladbaby/PowerPlanSwitcher/commit/217cbdd74825a5ff8507e9867272802f324bc944,2,1
/Ladbaby/PowerPlanSwitcher/actions,1,1
