url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,53,32
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,19,13
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,11,6
/Ladbaby/PowerPlanSwitcher/releases,10,7
/Ladbaby/PowerPlanSwitcher/issues,2,2
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/.github/workflows/github-repo-stats.yml,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/osd.ahk,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,1,1
