url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,58,33
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,44,22
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,21,13
/Ladbaby/PowerPlanSwitcher/releases,10,9
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,7,6
/Ladbaby/PowerPlanSwitcher/tree/master,5,4
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,3
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,2,2
/Ladbaby/PowerPlanSwitcher/tree/v1.0.1,2,1
