url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,44,34
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,33,22
/Ladbaby/PowerPlanSwitcher/tree/master,13,8
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,10,8
/Ladbaby/PowerPlanSwitcher/releases,6,6
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,5,3
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
