url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,58,38
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,30,18
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,10,10
/Ladbaby/PowerPlanSwitcher/releases,5,5
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.ahk,2,2
/Ladbaby/PowerPlanSwitcher/tree/master,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,1,1
/Ladbaby/PowerPlanSwitcher/issues,1,1
