time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,2,2,2,1
2026-08-15 00:00:00+00:00,1,1,2,1
2026-08-16 00:00:00+00:00,1,1,8,3
2026-08-17 00:00:00+00:00,2,2,9,4
2026-08-18 00:00:00+00:00,1,1,18,6
2026-08-19 00:00:00+00:00,1,1,9,2
2026-08-20 00:00:00+00:00,2,2,14,7
2026-08-21 00:00:00+00:00,6,5,26,5
2026-08-22 00:00:00+00:00,2,2,10,6
2026-08-23 00:00:00+00:00,2,2,41,9
2026-08-24 00:00:00+00:00,3,3,11,3
2026-08-25 00:00:00+00:00,2,2,9,3
2026-08-26 00:00:00+00:00,0,0,4,3
2026-08-27 00:00:00+00:00,1,1,22,5
