url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,61,39
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,22,14
/Ladbaby/PowerPlanSwitcher/releases,13,9
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,12,6
/Ladbaby/PowerPlanSwitcher/issues,2,2
/Ladbaby/PowerPlanSwitcher/projects,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,2,1
/Ladbaby/PowerPlanSwitcher/pulls,2,1
/Ladbaby/PowerPlanSwitcher/blob/master/.github/workflows/github-repo-stats.yml,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,1,1
