url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,50,32
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,31,19
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,10,9
/Ladbaby/PowerPlanSwitcher/releases,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.ahk,2,2
/Ladbaby/PowerPlanSwitcher/tree/master,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,1,1
