url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,51,27
/Ladbaby/PowerPlanSwitcher,50,38
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,18,13
/Ladbaby/PowerPlanSwitcher/releases,9,9
/Ladbaby/PowerPlanSwitcher/tree/master,9,6
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,6,3
/Ladbaby/PowerPlanSwitcher/tree/master/image,4,4
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,3
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,3,3
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,3,2
