time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,29,8,4,4
2026-06-20 00:00:00+00:00,34,11,36,8
2026-06-21 00:00:00+00:00,40,11,14,5
2026-06-22 00:00:00+00:00,34,10,8,3
2026-06-23 00:00:00+00:00,55,11,11,4
2026-06-24 00:00:00+00:00,33,8,5,3
2026-06-25 00:00:00+00:00,27,9,4,3
2026-06-26 00:00:00+00:00,11,6,17,6
2026-06-27 00:00:00+00:00,12,6,9,4
2026-06-28 00:00:00+00:00,9,5,4,3
2026-06-29 00:00:00+00:00,17,8,4,2
2026-06-30 00:00:00+00:00,1,1,59,5
2026-07-01 00:00:00+00:00,13,4,0,0
2026-07-02 00:00:00+00:00,2,2,8,4
