url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,62,42
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,35,19
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,14,12
/Ladbaby/PowerPlanSwitcher/releases,7,6
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,2
/Ladbaby/PowerPlanSwitcher/tree/master,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/.github/workflows/github-repo-stats.yml,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/.gitignore,1,1
