url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,58,34
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,39,19
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,19,13
/Ladbaby/PowerPlanSwitcher/releases,9,8
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,4,4
/Ladbaby/PowerPlanSwitcher/tree/master,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,2,1
/Ladbaby/PowerPlanSwitcher/tree/v1.0.1,2,1
