url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,39,31
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,28,18
/Ladbaby/PowerPlanSwitcher/tree/master,11,6
/Ladbaby/PowerPlanSwitcher/releases,5,5
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,5,5
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,3
/Ladbaby/PowerPlanSwitcher/tree/master/.github,3,2
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/vbs/Power_Saver.vbs,2,2
