url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,27,22
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,21,18
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,13,10
/Ladbaby/PowerPlanSwitcher/releases,4,4
/Ladbaby/PowerPlanSwitcher/tree/master,4,4
/Ladbaby/PowerPlanSwitcher/actions,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,1,1
/Ladbaby/PowerPlanSwitcher/tree/master/.github,1,1
/Ladbaby/PowerPlanSwitcher/tree/master/image,1,1
