time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-24 00:00:00+00:00,1,1,7,3
2026-07-25 00:00:00+00:00,13,4,12,1
2026-07-26 00:00:00+00:00,10,5,18,6
2026-07-27 00:00:00+00:00,21,8,2,1
2026-07-28 00:00:00+00:00,7,2,10,3
2026-07-29 00:00:00+00:00,18,8,5,1
2026-07-30 00:00:00+00:00,24,7,16,6
2026-07-31 00:00:00+00:00,16,6,0,0
2026-08-01 00:00:00+00:00,9,5,13,6
2026-08-02 00:00:00+00:00,1,1,26,5
2026-08-03 00:00:00+00:00,3,3,22,6
2026-08-04 00:00:00+00:00,5,5,10,3
2026-08-05 00:00:00+00:00,3,3,5,1
2026-08-06 00:00:00+00:00,1,1,8,4
