url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,35,31
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,24,16
/Ladbaby/PowerPlanSwitcher/releases,6,6
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,6,4
/Ladbaby/PowerPlanSwitcher/tree/master,3,3
/Ladbaby/PowerPlanSwitcher/actions,2,2
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/ListView.ahk,2,1
/Ladbaby/PowerPlanSwitcher/commit/0ff2a1bcc30c4f71b593a406ccc0d3a03f17957f,2,1
/Ladbaby/PowerPlanSwitcher/commit/217cbdd74825a5ff8507e9867272802f324bc944,2,1
