url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,59,44
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,47,26
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,15,11
/Ladbaby/PowerPlanSwitcher/tree/master,14,11
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,12,7
/Ladbaby/PowerPlanSwitcher/releases,10,9
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,1
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,2,1
