time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,20,7,2,2
2026-07-04 00:00:00+00:00,28,10,8,2
2026-07-05 00:00:00+00:00,10,5,3,2
2026-07-06 00:00:00+00:00,21,11,3,1
2026-07-07 00:00:00+00:00,32,10,11,4
2026-07-08 00:00:00+00:00,16,7,11,4
2026-07-09 00:00:00+00:00,19,9,9,5
2026-07-10 00:00:00+00:00,24,9,16,7
2026-07-11 00:00:00+00:00,14,5,14,8
2026-07-12 00:00:00+00:00,15,6,36,10
2026-07-13 00:00:00+00:00,11,6,6,3
2026-07-14 00:00:00+00:00,21,8,2,1
2026-07-15 00:00:00+00:00,19,6,11,6
2026-07-16 00:00:00+00:00,17,8,4,1
