url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,56,36
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,50,24
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,18,12
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,10,5
/Ladbaby/PowerPlanSwitcher/releases,9,8
/Ladbaby/PowerPlanSwitcher/tree/master,6,5
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,4,4
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,1
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,2,1
