url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,53,40
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,53,29
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,21,14
/Ladbaby/PowerPlanSwitcher/releases,11,11
/Ladbaby/PowerPlanSwitcher/tree/master,9,6
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,5,4
/Ladbaby/PowerPlanSwitcher/tree/master/image,4,4
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,4,3
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/LICENSE,2,2
