time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-29 00:00:00+00:00,18,8,5,1
2026-07-30 00:00:00+00:00,24,7,16,6
2026-07-31 00:00:00+00:00,16,6,0,0
2026-08-01 00:00:00+00:00,9,5,13,6
2026-08-02 00:00:00+00:00,1,1,26,5
2026-08-03 00:00:00+00:00,3,3,22,6
2026-08-04 00:00:00+00:00,5,5,10,3
2026-08-05 00:00:00+00:00,3,3,5,1
2026-08-06 00:00:00+00:00,1,1,8,4
2026-08-07 00:00:00+00:00,4,3,10,3
2026-08-08 00:00:00+00:00,14,5,3,2
2026-08-09 00:00:00+00:00,1,1,7,4
2026-08-10 00:00:00+00:00,1,1,11,3
2026-08-11 00:00:00+00:00,14,5,7,6
