url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,53,38
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,40,21
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,17,12
/Ladbaby/PowerPlanSwitcher/releases,12,10
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,11,6
/Ladbaby/PowerPlanSwitcher/tree/master,10,8
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,3,3
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,1
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,2,1
