url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,58,39
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,33,18
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,11,11
/Ladbaby/PowerPlanSwitcher/releases,7,6
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.ahk,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github,2,2
