url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,53,33
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,42,22
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,24,14
/Ladbaby/PowerPlanSwitcher/releases,9,8
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,7,6
/Ladbaby/PowerPlanSwitcher/tree/master,5,4
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/vbs/Balanced.vbs,1,1
