time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,17,8,34,7
2026-07-19 00:00:00+00:00,7,3,3,1
2026-07-20 00:00:00+00:00,31,12,3,1
2026-07-21 00:00:00+00:00,15,6,4,4
2026-07-22 00:00:00+00:00,9,5,35,5
2026-07-23 00:00:00+00:00,3,3,12,5
2026-07-24 00:00:00+00:00,1,1,7,3
2026-07-25 00:00:00+00:00,13,4,12,1
2026-07-26 00:00:00+00:00,10,5,18,6
2026-07-27 00:00:00+00:00,21,8,2,1
2026-07-28 00:00:00+00:00,7,2,10,3
2026-07-29 00:00:00+00:00,18,8,5,1
2026-07-30 00:00:00+00:00,24,7,16,6
2026-07-31 00:00:00+00:00,16,6,0,0
