url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,79,34
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,22,14
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,9,7
/Ladbaby/PowerPlanSwitcher/releases,4,3
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.ahk,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,2,2
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,1,1
/Ladbaby/PowerPlanSwitcher/issues,1,1
/Ladbaby/PowerPlanSwitcher/tree/master,1,1
