url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,51,34
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,17,12
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,12,6
/Ladbaby/PowerPlanSwitcher/releases,11,8
/Ladbaby/PowerPlanSwitcher/issues,2,2
/Ladbaby/PowerPlanSwitcher/actions,1,1
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/.github/workflows/github-repo-stats.yml,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/osd.ahk,1,1
