url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,57,35
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,26,14
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,13,7
/Ladbaby/PowerPlanSwitcher/releases,11,8
/Ladbaby/PowerPlanSwitcher/issues,2,2
/Ladbaby/PowerPlanSwitcher/projects,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,2,1
/Ladbaby/PowerPlanSwitcher/pulls,2,1
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/.github/workflows/github-repo-stats.yml,1,1
