url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,52,29
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,43,25
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,19,14
/Ladbaby/PowerPlanSwitcher/releases,12,11
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,6,3
/Ladbaby/PowerPlanSwitcher/tree/master,5,3
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,3,3
/Ladbaby/PowerPlanSwitcher/tree/master/image,3,3
/Ladbaby/PowerPlanSwitcher/tree/master/.github,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/.github/workflows/github-repo-stats.yml,2,1
