time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,1,1,11,3
2026-09-10 00:00:00+00:00,1,1,4,2
2026-09-11 00:00:00+00:00,3,3,7,4
2026-09-12 00:00:00+00:00,13,7,8,4
2026-09-13 00:00:00+00:00,6,5,12,5
2026-09-14 00:00:00+00:00,4,4,5,4
2026-09-15 00:00:00+00:00,2,2,0,0
2026-09-16 00:00:00+00:00,15,7,9,6
2026-09-17 00:00:00+00:00,12,6,2,2
2026-09-18 00:00:00+00:00,1,1,17,7
2026-09-19 00:00:00+00:00,20,13,2,2
2026-09-20 00:00:00+00:00,2,2,0,0
2026-09-21 00:00:00+00:00,6,6,0,0
2026-09-22 00:00:00+00:00,6,5,1,1
